Clone name,Fat,Testa
BAL 209,57.70,12.30
BR 25,45.47,14.15
FP 10,56.70,6.39
FP 6,55.00,6.87
FP 7,54.90,7.12
FP 8,-,6.51
FP 9,56.40,7.48
KKM 1,56.00,5.50
KKM 15,53.90,4.40
KKM 17,55.60,7.80
KKM 19,57.80,6.20
KKM 2,63.30,5.20
KKM 22,56.90,12.30
KKM 25,51.60,5.40
KKM 26,57.20,6.20
KKM 27,54.50,8.10
KKM 28,52.30,11.90
KKM 3,57.90,6.20
KKM 4,53.80,5.50
KKM 5,48.90,4.00
KKM 6,57.80,6.20
PBC 112,55.60,-
PBC 113,55.00,-
PBC 123,53.00,-
PBC 130,56.50,-
PBC 131,57.10,-
PBC 140,57.20,-
PBC 159,60.10,-
PBC 179,56.40,-
QH 1003,-,14.48
QH 1176,-,18.09
QH 12,57.30,15.45
QH 1213,56.01,-
QH 186,60.30,18.94
QH 22,56.30,16.40
QH 240,56.10,17.61
QH 37,54.00,15.42
QH 441,59.50,16.42
QH 670,56.98,-
UPC 41,54.10,4.20
UPC 50,52.80,4.40
