Clone name,Testa
RIM 10 [MEX],7.41
RIM 100 [MEX],7.04
RIM 101 [MEX],7.5
RIM 105 [MEX],9.01
RIM 106 [MEX],7.46
RIM 113 [MEX],10.08
RIM 117 [MEX],7.63
RIM 13 [MEX],7.14
RIM 15 [MEX],9.0
RIM 19 [MEX],7.91
RIM 2 [MEX],9.02
RIM 23 [MEX],8.76
RIM 24 [MEX],7.91
RIM 26 [MEX],7.8
RIM 30 [MEX],6.9
RIM 34 [MEX],8.28
RIM 39 [MEX],7.91
RIM 41 [MEX],8.57
RIM 44 [MEX],7.14
RIM 48 [MEX],9.3
RIM 52 [MEX],6.67
RIM 56 [MEX],8.33
RIM 6 [MEX],9.02
RIM 68 [MEX],8.66
RIM 71 [MEX],8.09
RIM 75 [MEX],6.21
RIM 76 [MEX],5.96
RIM 76 [MEX],15.0
RIM 78 [MEX],7.14
RIM 8 [MEX],10.66
RIM 88 [MEX],8.21
